text_id,provider_type,source_type,provider_name,text,source_url,created_at
ADD_HOSP_0001,HOSPITAL,faq,서울성모병원,장애인 환자를 위한 편의시설과 전용 주차 공간이 마련되어 있습니다.,https://example.com/hospital/faq/additional,2026-01-05T12:52:37.779825+00:00
ADD_HOSP_0002,HOSPITAL,faq,서울대병원,수술 전 검사는 수술 3~7일 전에 시행됩니다.,https://example.com/hospital/faq/additional,2026-01-05T12:52:37.779825+00:00
ADD_HOSP_0003,HOSPITAL,faq,고대안암병원,"소견서, 진료확인서는 원무과에서 즉시 발급 가능합니다.",https://example.com/hospital/faq/additional,2026-01-05T12:52:37.779825+00:00
ADD_HOSP_0004,HOSPITAL,faq,세브란스병원,"정신건강의학과는 우울증, 불안장애, 수면장애 등을 상담하고 치료합니다.",https://example.com/hospital/faq/additional,2026-01-05T12:52:37.779825+00:00
ADD_HOSP_0005,HOSPITAL,faq,서울대병원,"재활의학과에서는 물리치료, 작업치료, 통증 치료를 제공합니다.",https://example.com/hospital/faq/additional,2026-01-05T12:52:37.779825+00:00
ADD_HOSP_0006,HOSPITAL,faq,삼성병원,"심장내과는 부정맥, 협심증, 심근경색 등 심혈관 질환을 전문으로 진료합니다.",https://example.com/hospital/faq/additional,2026-01-05T12:52:37.779825+00:00
ADD_HOSP_0007,HOSPITAL,faq,서울대병원,"피부과는 아토피, 여드름, 탈모, 피부암 등을 전문으로 다룹니다.",https://example.com/hospital/faq/additional,2026-01-05T12:52:37.779825+00:00
ADD_HOSP_0011,HOSPITAL,faq,분당서울대병원,보험 청구용 서류는 진료과에서 안내받으신 후 원무과에서 발급받으세요.,https://example.com/hospital/faq/additional,2026-01-05T12:52:37.779825+00:00
ADD_HOSP_0012,HOSPITAL,faq,아산병원,"독감 예방접종은 매년 10월부터 시작되며, 예약 없이 접수 가능합니다.",https://example.com/hospital/faq/additional,2026-01-05T12:52:37.779825+00:00
ADD_HOSP_0013,HOSPITAL,faq,서울성모병원,외국인 환자를 위한 통역 서비스가 제공됩니다(사전 신청 필요).,https://example.com/hospital/faq/additional,2026-01-05T12:52:37.779825+00:00
ADD_HOSP_0016,HOSPITAL,faq,삼성병원,"야간 응급 진료는 내과, 외과, 소아과에서 제공됩니다.",https://example.com/hospital/faq/additional,2026-01-05T12:52:37.779825+00:00
ADD_HOSP_0017,HOSPITAL,faq,서울대병원,"신경과에서는 두통, 어지럼증, 손발 저림, 치매 등을 진단하고 치료합니다.",https://example.com/hospital/faq/additional,2026-01-05T12:52:37.779825+00:00
ADD_HOSP_0018,HOSPITAL,faq,분당서울대병원,"진단서는 진료 당일 또는 익일 발급 가능하며, 수수료가 부과됩니다.",https://example.com/hospital/faq/additional,2026-01-05T12:52:37.779825+00:00
ADD_HOSP_0019,HOSPITAL,faq,서울대병원,"입원 중 면회는 지정된 시간에만 가능하며, 중환자실은 제한적입니다.",https://example.com/hospital/faq/additional,2026-01-05T12:52:37.779825+00:00
ADD_HOSP_0029,HOSPITAL,faq,서울대병원,"입원 수속은 원무과에서 진행하며, 신분증과 보험증이 필요합니다.",https://example.com/hospital/faq/additional,2026-01-05T12:52:37.779825+00:00
ADD_HOSP_0030,HOSPITAL,faq,분당서울대병원,영문 진단서는 발급까지 3~5일 소요됩니다.,https://example.com/hospital/faq/additional,2026-01-05T12:52:37.779825+00:00
ADD_HOSP_0032,HOSPITAL,faq,세브란스병원,"응급 상황 시 119에 먼저 연락하시고, 가까운 응급실로 이동하세요.",https://example.com/hospital/faq/additional,2026-01-05T12:52:37.779825+00:00
ADD_HOSP_0039,HOSPITAL,faq,서울성모병원,영유아 예방접종은 소아청소년과에서 국가 예방접종 일정에 따라 시행됩니다.,https://example.com/hospital/faq/additional,2026-01-05T12:52:37.779825+00:00
ADD_HOSP_0045,HOSPITAL,faq,분당서울대병원,"수술 당일 보호자 동반이 필수이며, 수술 동의서를 작성해야 합니다.",https://example.com/hospital/faq/additional,2026-01-05T12:52:37.779825+00:00
ADD_HOSP_0049,HOSPITAL,faq,아산병원,건강검진 결과 상담은 가정의학과에서 예약 후 받으실 수 있습니다.,https://example.com/hospital/faq/additional,2026-01-05T12:52:37.779825+00:00
ADD_PHARM_0001,PHARMACY,notice,메디팜약국,임신 중이거나 수유 중인 경우 반드시 약사에게 알려주세요.,https://example.com/pharmacy/guide/additional,2026-01-05T12:52:37.779825+00:00
ADD_PHARM_0002,PHARMACY,notice,건강약국,"패치제는 깨끗하고 건조한 피부에 부착하고, 매일 다른 부위에 붙이세요.",https://example.com/pharmacy/guide/additional,2026-01-05T12:52:37.779825+00:00
ADD_PHARM_0003,PHARMACY,notice,건강약국,건강기능식품도 약과 상호작용할 수 있으니 복용 중인 약을 알려주세요.,https://example.com/pharmacy/guide/additional,2026-01-05T12:52:37.779825+00:00
ADD_PHARM_0004,PHARMACY,notice,강남약국,"소화제는 식후 불편감이 있을 때 복용하며, 장기 복용 시 의사와 상담하세요.",https://example.com/pharmacy/guide/additional,2026-01-05T12:52:37.779825+00:00
ADD_PHARM_0005,PHARMACY,notice,강남약국,약은 직사광선을 피하고 서늘하고 건조한 곳에 보관하세요.,https://example.com/pharmacy/guide/additional,2026-01-05T12:52:37.779825+00:00
ADD_PHARM_0007,PHARMACY,notice,참약국,"물약은 흔들어서 복용하고, 계량컵이나 스포이트를 사용하세요.",https://example.com/pharmacy/guide/additional,2026-01-05T12:52:37.779825+00:00
ADD_PHARM_0010,PHARMACY,notice,건강약국,"캡슐약은 물과 함께 삼키고, 씹거나 쪼개지 마세요.",https://example.com/pharmacy/guide/additional,2026-01-05T12:52:37.779825+00:00
ADD_PHARM_0012,PHARMACY,notice,강남약국,유효기간이 지난 약은 약국이나 보건소에 반납해 주세요.,https://example.com/pharmacy/guide/additional,2026-01-05T12:52:37.779825+00:00
