text_id,provider_type,source_type,provider_name,text,source_url,created_at
FAQ_HOSP_0001,HOSPITAL,faq,서울대학교병원,"예약 변경은 진료 시작 1시간 전까지 가능하며, 홈페이지에서 직접 변경하실 수 있습니다.",https://example.com/hospital/faq,2026-01-05T12:49:22.010485+00:00
FAQ_HOSP_0002,HOSPITAL,faq,서울아산병원,진료비 세부 내역은 홈페이지에서 조회 가능합니다.,https://example.com/hospital/faq,2026-01-05T12:49:22.010485+00:00
FAQ_HOSP_0003,HOSPITAL,faq,삼성서울병원,재진 환자는 이전 진료 기록을 바탕으로 빠른 접수가 가능합니다.,https://example.com/hospital/faq,2026-01-05T12:49:22.010485+00:00
FAQ_HOSP_0004,HOSPITAL,faq,경희대학교병원,"비급여 항목은 수납 전 안내드리며, 사전 문의도 가능합니다.",https://example.com/hospital/faq,2026-01-05T12:49:22.010485+00:00
FAQ_HOSP_0005,HOSPITAL,faq,삼성서울병원,"카드 결제, 현금, 계좌이체 모두 가능하며, 영수증은 자동 발급됩니다.",https://example.com/hospital/faq,2026-01-05T12:49:22.010485+00:00
FAQ_HOSP_0006,HOSPITAL,faq,경희대학교병원,"편의점과 카페는 본관 1층에 있으며, 오전 7시부터 오후 8시까지 이용 가능합니다.",https://example.com/hospital/faq,2026-01-05T12:49:22.010485+00:00
FAQ_HOSP_0008,HOSPITAL,faq,경희대학교병원,혈액 검사 결과는 당일 오후 또는 익일 오전 확인 가능합니다.,https://example.com/hospital/faq,2026-01-05T12:49:22.010485+00:00
FAQ_HOSP_0009,HOSPITAL,faq,가톨릭대서울성모병원,"진료 예약은 전화, 홈페이지, 모바일 앱을 통해 가능합니다.",https://example.com/hospital/faq,2026-01-05T12:49:22.010485+00:00
FAQ_HOSP_0011,HOSPITAL,faq,가톨릭대서울성모병원,진료 시 신분증과 건강보험증을 지참해 주시기 바랍니다.,https://example.com/hospital/faq,2026-01-05T12:49:22.010485+00:00
FAQ_HOSP_0012,HOSPITAL,faq,서울대학교병원,휠체어 및 유모차 대여는 안내 데스크에서 신분증 맡기시면 무료로 이용하실 수 있습니다.,https://example.com/hospital/faq,2026-01-05T12:49:22.010485+00:00
FAQ_HOSP_0013,HOSPITAL,faq,연세세브란스병원,"초음파 검사는 당일 예약 가능하며, 검사 전 4시간 금식이 필요합니다.",https://example.com/hospital/faq,2026-01-05T12:49:22.010485+00:00
