text_id,provider_type,source_type,provider_name,text,source_url,created_at
FINAL_HOSP_0001,HOSPITAL,faq,종합병원,재진 환자는 이전 진료 기록을 확인한 후 진료가 진행됩니다.,https://example.com/hospital/faq/final,2026-01-05T12:53:50.788064+00:00
FINAL_HOSP_0002,HOSPITAL,faq,종합병원,물리치료는 의사 처방 후 재활의학과에서 받으실 수 있습니다.,https://example.com/hospital/faq/final,2026-01-05T12:53:50.788064+00:00
FINAL_HOSP_0003,HOSPITAL,faq,종합병원,"토요일은 오전 진료만 운영되며, 일부 진료과는 휴진입니다.",https://example.com/hospital/faq/final,2026-01-05T12:53:50.788064+00:00
FINAL_HOSP_0004,HOSPITAL,faq,종합병원,진료 후 약 처방은 원내 약국 또는 원외 약국에서 받으실 수 있습니다.,https://example.com/hospital/faq/final,2026-01-05T12:53:50.788064+00:00
FINAL_HOSP_0006,HOSPITAL,faq,종합병원,외래 진료는 평일 오전 9시부터 오후 5시까지 운영됩니다.,https://example.com/hospital/faq/final,2026-01-05T12:53:50.788064+00:00
FINAL_HOSP_0008,HOSPITAL,faq,종합병원,"예약 환자 우선 진료 원칙을 따르며, 당일 접수는 대기 시간이 길 수 있습니다.",https://example.com/hospital/faq/final,2026-01-05T12:53:50.788064+00:00
FINAL_HOSP_0010,HOSPITAL,faq,종합병원,장애인 편의시설은 각 층에 마련되어 있습니다.,https://example.com/hospital/faq/final,2026-01-05T12:53:50.788064+00:00
FINAL_HOSP_0012,HOSPITAL,faq,종합병원,응급실 이용 시 중증도에 따라 진료 순서가 결정됩니다.,https://example.com/hospital/faq/final,2026-01-05T12:53:50.788064+00:00
FINAL_HOSP_0014,HOSPITAL,faq,종합병원,환자 이송 서비스는 원무과에 문의하시면 안내받으실 수 있습니다.,https://example.com/hospital/faq/final,2026-01-05T12:53:50.788064+00:00
FINAL_HOSP_0016,HOSPITAL,faq,종합병원,초진 환자는 진료 전 문진표 작성이 필요합니다.,https://example.com/hospital/faq/final,2026-01-05T12:53:50.788064+00:00
FINAL_HOSP_0017,HOSPITAL,faq,종합병원,건강보험 미가입자는 전액 본인 부담으로 진료받으실 수 있습니다.,https://example.com/hospital/faq/final,2026-01-05T12:53:50.788064+00:00
FINAL_HOSP_0020,HOSPITAL,faq,종합병원,내시경 검사는 전날 저녁부터 금식이 필요합니다.,https://example.com/hospital/faq/final,2026-01-05T12:53:50.788064+00:00
FINAL_HOSP_0022,HOSPITAL,faq,종합병원,진료비 할부 결제는 신용카드로만 가능합니다.,https://example.com/hospital/faq/final,2026-01-05T12:53:50.788064+00:00
FINAL_HOSP_0023,HOSPITAL,faq,종합병원,진료 접수는 진료 시작 30분 전부터 가능합니다.,https://example.com/hospital/faq/final,2026-01-05T12:53:50.788064+00:00
FINAL_PHARM_0001,PHARMACY,notice,종합약국,처방약 외에도 일반의약품 상담이 가능합니다.,https://example.com/pharmacy/guide/final,2026-01-05T12:53:50.788064+00:00
FINAL_PHARM_0002,PHARMACY,notice,종합약국,만성질환자 처방전은 최대 90일분까지 조제 가능합니다.,https://example.com/pharmacy/guide/final,2026-01-05T12:53:50.788064+00:00
FINAL_PHARM_0004,PHARMACY,notice,종합약국,노인 환자는 약물 대사가 느려 용량 조절이 필요할 수 있습니다.,https://example.com/pharmacy/guide/final,2026-01-05T12:53:50.788064+00:00
FINAL_PHARM_0005,PHARMACY,notice,종합약국,어린이 손이 닿지 않는 곳에 보관하세요.,https://example.com/pharmacy/guide/final,2026-01-05T12:53:50.788064+00:00
FINAL_PHARM_0006,PHARMACY,notice,종합약국,약 봉지에 표기된 복용 방법을 반드시 확인하세요.,https://example.com/pharmacy/guide/final,2026-01-05T12:53:50.788064+00:00
FINAL_PHARM_0007,PHARMACY,notice,종합약국,약 복용 상담은 언제든지 약사에게 문의하세요.,https://example.com/pharmacy/guide/final,2026-01-05T12:53:50.788064+00:00
FINAL_PHARM_0009,PHARMACY,notice,종합약국,약 알레르기가 있는 경우 반드시 약사에게 알려주세요.,https://example.com/pharmacy/guide/final,2026-01-05T12:53:50.788064+00:00
FINAL_PHARM_0011,PHARMACY,notice,종합약국,임신 중이거나 수유 중인 경우 약 복용 전 상담하세요.,https://example.com/pharmacy/guide/final,2026-01-05T12:53:50.788064+00:00
FINAL_PHARM_0012,PHARMACY,notice,종합약국,"약국에서는 혈압, 혈당 측정 서비스를 제공합니다.",https://example.com/pharmacy/guide/final,2026-01-05T12:53:50.788064+00:00
FINAL_PHARM_0014,PHARMACY,notice,종합약국,건강기능식품도 약과 상호작용할 수 있으니 주의하세요.,https://example.com/pharmacy/guide/final,2026-01-05T12:53:50.788064+00:00
FINAL_PHARM_0015,PHARMACY,notice,종합약국,처방전은 발행일로부터 3일 이내 조제해야 합니다.,https://example.com/pharmacy/guide/final,2026-01-05T12:53:50.788064+00:00
FINAL_CHK_0001,CHECKUP_CENTER,faq,건강검진센터,수면 내시경 후에는 운전이 불가능합니다.,https://example.com/checkup/faq/final,2026-01-05T12:53:50.788064+00:00
FINAL_CHK_0002,CHECKUP_CENTER,faq,건강검진센터,임신 가능성이 있는 경우 X-ray 검사가 제외됩니다.,https://example.com/checkup/faq/final,2026-01-05T12:53:50.788064+00:00
FINAL_CHK_0003,CHECKUP_CENTER,faq,건강검진센터,검진 결과는 7~10일 후 우편 또는 이메일로 발송됩니다.,https://example.com/checkup/faq/final,2026-01-05T12:53:50.788064+00:00
FINAL_CHK_0004,CHECKUP_CENTER,faq,건강검진센터,위내시경은 수면 또는 비수면 중 선택 가능합니다.,https://example.com/checkup/faq/final,2026-01-05T12:53:50.788064+00:00
FINAL_CHK_0005,CHECKUP_CENTER,faq,건강검진센터,추가 검진 항목은 별도 비용이 발생합니다.,https://example.com/checkup/faq/final,2026-01-05T12:53:50.788064+00:00
FINAL_CHK_0006,CHECKUP_CENTER,faq,건강검진센터,"검진 당일 물, 커피, 담배는 금지입니다.",https://example.com/checkup/faq/final,2026-01-05T12:53:50.788064+00:00
FINAL_CHK_0008,CHECKUP_CENTER,faq,건강검진센터,검진 전날 저녁 9시 이후 금식해 주세요.,https://example.com/checkup/faq/final,2026-01-05T12:53:50.788064+00:00
FINAL_CHK_0009,CHECKUP_CENTER,faq,건강검진센터,재검사가 필요한 경우 안내 전화를 드립니다.,https://example.com/checkup/faq/final,2026-01-05T12:53:50.788064+00:00
FINAL_CHK_0010,CHECKUP_CENTER,faq,건강검진센터,검진 예약 변경은 3일 전까지 가능합니다.,https://example.com/checkup/faq/final,2026-01-05T12:53:50.788064+00:00
FINAL_CHK_0012,CHECKUP_CENTER,faq,건강검진센터,"건강검진은 예약제로 운영되며, 최소 1주일 전 예약을 권장합니다.",https://example.com/checkup/faq/final,2026-01-05T12:53:50.788064+00:00
FINAL_CHK_0014,CHECKUP_CENTER,faq,건강검진센터,검진 후 간단한 식사가 제공됩니다.,https://example.com/checkup/faq/final,2026-01-05T12:53:50.788064+00:00
