text_id,source_type,provider_type,provider_name,created_at,rating,sentiment_label,topic_label,text,__source_file,source_url
T0001,review,HOSPITAL,A내과(강남점),2025-12-20,5.0,positive,staff,접수부터 안내까지 친절해서 좋았어요.,C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_sample.csv,
T0002,review,HOSPITAL,A내과(강남점),2025-12-21,2.0,negative,wait,대기 시간이 너무 길었습니다.,C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_sample.csv,
T0003,review,HOSPITAL,B이비인후과(강남역점),2025-12-21,4.0,positive,explain,증상 설명을 이해하기 쉽게 해주셨어요.,C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_sample.csv,
T0004,review,PHARMACY,B약국(홍대점),2025-12-22,5.0,positive,speed,조제 속도가 빨라서 편했습니다.,C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_sample.csv,
T0005,review,PHARMACY,B약국(홍대점),2025-12-22,2.0,negative,price,가격 안내가 부족해서 아쉬웠어요.,C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_sample.csv,
T0006,review,CHECKUP_CENTER,A검진센터(강남점),2025-12-23,4.0,positive,process,검진 동선이 잘 안내되어 혼잡하지 않았어요.,C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_sample.csv,
T0007,inquiry,HOSPITAL,C의원(홍대점),2025-12-23,,neutral,reservation,오늘 진료 예약 가능한 시간대가 있나요?,C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_sample.csv,
T0008,inquiry,HOSPITAL,C의원(홍대점),2025-12-23,,neutral,policy,예약 변경은 언제까지 가능한가요?,C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_sample.csv,
T0009,inquiry,PHARMACY,A약국(강남점),2025-12-23,,neutral,pickup,처방전 없이도 일반약 구매가 가능한가요?,C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_sample.csv,
T0010,inquiry,CHECKUP_CENTER,B검진센터(여의도점),2025-12-24,,neutral,prep,건강검진 전 금식이 필요한가요? 몇 시간인가요?,C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_sample.csv,
T0011,review,HOSPITAL,D정형외과(신촌점),2025-12-24,3.0,neutral,wait,진료는 괜찮았는데 대기가 조금 있었어요.,C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_sample.csv,
T0012,review,HOSPITAL,B이비인후과(강남역점),2025-12-24,1.0,negative,staff,응대가 불친절하게 느껴졌습니다.,C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_sample.csv,
T0013,review,PHARMACY,C약국(신촌점),2025-12-24,4.0,positive,staff,약 설명을 자세히 해주셔서 도움이 됐어요.,C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_sample.csv,
T0014,review,CHECKUP_CENTER,C검진센터(잠실점),2025-12-25,2.0,negative,process,검진 안내가 늦어서 일정이 밀렸어요.,C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_sample.csv,
T0015,inquiry,PHARMACY,C약국(신촌점),2025-12-25,,neutral,opening_hours,오늘 영업시간이 어떻게 되나요?,C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_sample.csv,
T0016,inquiry,HOSPITAL,A내과(강남점),2025-12-25,,neutral,reservation,내일 오후로 예약하고 싶어요.,C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_sample.csv,
T0017,inquiry,CHECKUP_CENTER,A검진센터(강남점),2025-12-25,,neutral,reservation,검진 예약 취소하려면 어떻게 하나요?,C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_sample.csv,
T0018,review,HOSPITAL,C의원(홍대점),2025-12-26,5.0,positive,clean,대기실이 깨끗하고 쾌적했습니다.,C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_sample.csv,
T0019,review,PHARMACY,A약국(강남점),2025-12-26,3.0,neutral,speed,조제는 빨랐지만 사람이 많았어요.,C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_sample.csv,
T0020,review,CHECKUP_CENTER,B검진센터(여의도점),2025-12-26,4.0,positive,staff,검진 기사님들이 친절했어요.,C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_sample.csv,
T0021,review,HOSPITAL,A내과(강남점),2025-12-27,4.0,positive,explain,검사 결과에 대해 핵심만 잘 설명해주셨어요.,C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_sample.csv,
T0022,review,HOSPITAL,A내과(강남점),2025-12-27,2.0,negative,wait,예약했는데도 40분 넘게 기다렸어요.,C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_sample.csv,
T0023,review,HOSPITAL,B이비인후과(강남역점),2025-12-27,5.0,positive,staff,간호사 분들이 친절해서 안심됐어요.,C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_sample.csv,
T0024,review,PHARMACY,B약국(홍대점),2025-12-27,4.0,positive,explain,복용 방법을 자세히 알려주셨어요.,C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_sample.csv,
T0025,review,PHARMACY,B약국(홍대점),2025-12-27,2.0,negative,wait,대기 줄이 길어서 오래 걸렸습니다.,C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_sample.csv,
T0026,review,CHECKUP_CENTER,A검진센터(강남점),2025-12-27,5.0,positive,process,예약 시간에 맞춰 빠르게 진행됐어요.,C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_sample.csv,
T0027,inquiry,HOSPITAL,C의원(홍대점),2025-12-27,,neutral,location,주차 가능한가요?,C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_sample.csv,
T0028,inquiry,HOSPITAL,C의원(홍대점),2025-12-27,,neutral,reservation,오늘 18시 이후 예약 가능할까요?,C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_sample.csv,
T0029,inquiry,PHARMACY,A약국(강남점),2025-12-27,,neutral,pickup,처방약 수령 예약하고 싶어요.,C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_sample.csv,
T0030,inquiry,CHECKUP_CENTER,B검진센터(여의도점),2025-12-27,,neutral,policy,검진 예약 변경은 수수료가 있나요?,C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_sample.csv,
T0031,review,HOSPITAL,D정형외과(신촌점),2025-12-28,4.0,positive,explain,치료 계획을 단계별로 설명해주셨어요.,C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_sample.csv,
T0032,review,HOSPITAL,D정형외과(신촌점),2025-12-28,2.0,negative,price,비용 안내가 부족해서 불안했습니다.,C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_sample.csv,
T0033,review,HOSPITAL,C의원(홍대점),2025-12-28,5.0,positive,speed,접수부터 진료까지 빨랐어요.,C:/Users/cutep/OneDrive/바탕 화면/yurim251202/VibeCoding/CareLog AI/data/step2_raw_text_sample.csv,
