text_id,source_type,provider_type,provider_name,created_at,text
AUG_INQUIRY_00001,inquiry,CHECKUP_CENTER,B검진센터(여의도점),2026-01-07T11:08:44.148975+00:00,검진 전 금식은 몇 시간 해야 하나요?
AUG_INQUIRY_00002,inquiry,PHARMACY,B약국(홍대점),2026-01-07T11:08:44.148975+00:00,복용 중인 약은 검진 전에 어떻게 하나요?
AUG_INQUIRY_00003,inquiry,CHECKUP_CENTER,AI Hub,2026-01-07T11:08:44.148975+00:00,주차 가능한가요? 무료인가요?
AUG_INQUIRY_00004,inquiry,HOSPITAL,경희대학교병원,2026-01-07T11:08:44.148975+00:00,처방약 수령 예약할 수 있나요?
AUG_INQUIRY_00005,inquiry,PHARMACY,서울약국,2026-01-07T11:08:44.148975+00:00,예약 변경은 언제까지 가능해요?
AUG_INQUIRY_00006,inquiry,CHECKUP_CENTER,삼성서울병원건강의학센터,2026-01-07T11:08:44.148975+00:00,검진 전 금식은 몇 시간 해야 하나요?
AUG_INQUIRY_00007,inquiry,HOSPITAL,아산병원,2026-01-07T11:08:44.148975+00:00,주차 가능한가요? 무료인가요?
AUG_INQUIRY_00008,inquiry,PHARMACY,종합약국,2026-01-07T11:08:44.148975+00:00,복용 중인 약은 검진 전에 어떻게 하나요?
AUG_INQUIRY_00009,inquiry,PHARMACY,C약국(신촌점),2026-01-07T11:08:44.148975+00:00,처방약 수령 예약할 수 있나요?
AUG_INQUIRY_00010,inquiry,CHECKUP_CENTER,아산병원건강증진센터,2026-01-07T11:08:44.148975+00:00,오늘 오후 예약 가능해요?
AUG_INQUIRY_00011,inquiry,HOSPITAL,A내과(강남점),2026-01-07T11:08:44.148975+00:00,처방약 조제 얼마나 걸려요?
AUG_INQUIRY_00012,inquiry,HOSPITAL,연세세브란스병원,2026-01-07T11:08:44.148975+00:00,처방약 수령 예약할 수 있나요 ?
AUG_INQUIRY_00013,inquiry,PHARMACY,건강약국,2026-01-07T11:08:44.148975+00:00,예약 취소하면 수수료 있나요?
AUG_INQUIRY_00014,inquiry,PHARMACY,강남약국,2026-01-07T11:08:44.148975+00:00,주차 가눙한가요? 무료인가요?
AUG_INQUIRY_00015,inquiry,HOSPITAL,D정형외과(신촌점),2026-01-07T11:08:44.148975+00:00,처방약 조제 얼마나 걸려요?
AUG_INQUIRY_00016,inquiry,PHARMACY,B약국(홍대점),2026-01-07T11:08:44.148975+00:00,처방약 조제 얼마나 걸려요?
AUG_INQUIRY_00017,inquiry,PHARMACY,B약국(홍대점),2026-01-07T11:08:44.148975+00:00,당일 접수도 가능한지 궁금해요
AUG_INQUIRY_00018,inquiry,CHECKUP_CENTER,건강검진센터,2026-01-07T11:08:44.148975+00:00,처방약 수령 예약할 수 있나요?
AUG_INQUIRY_00019,inquiry,CHECKUP_CENTER,아산병원건강증진센터,2026-01-07T11:08:44.148975+00:00,처방약 조제 얼마나 걸려요 ?
AUG_INQUIRY_00020,inquiry,CHECKUP_CENTER,A검진센터(강남점),2026-01-07T11:08:44.148975+00:00,오늘 저녁 예약 가능해요?
AUG_INQUIRY_00021,inquiry,HOSPITAL,C의원(홍대점),2026-01-07T11:08:44.148975+00:00,당일 접수도 가눙한지 궁금해요.
AUG_INQUIRY_00022,inquiry,HOSPITAL,D정형외과(신촌점),2026-01-07T11:08:44.148975+00:00,예약 취소하면 수수료 있어요?
AUG_INQUIRY_00023,inquiry,HOSPITAL,D정형외과(신촌점),2026-01-07T11:08:44.148975+00:00,영업시간이 어떻게 되나요?
AUG_INQUIRY_00024,inquiry,CHECKUP_CENTER,서울대병원건강증진센터,2026-01-07T11:08:44.148975+00:00,처방약 수령 예약할 수 있나요?
AUG_INQUIRY_00025,inquiry,HOSPITAL,분당서울대병원,2026-01-07T11:08:44.148975+00:00,영업시간이 어떻게 되나요?
AUG_INQUIRY_00026,inquiry,HOSPITAL,아산병원,2026-01-07T11:08:44.148975+00:00,예약 변경은 언제까지 가능해요?
AUG_INQUIRY_00027,inquiry,HOSPITAL,가톨릭대서울성모병원,2026-01-07T11:08:44.148975+00:00,당일 접수도 가능한지 궁금해요
AUG_INQUIRY_00028,inquiry,PHARMACY,B약국(홍대점),2026-01-07T11:08:44.148975+00:00,오늘 오전 예약 가능한가요?
AUG_INQUIRY_00029,inquiry,HOSPITAL,가톨릭대서울성모병원,2026-01-07T11:08:44.148975+00:00,당일 접수도 가눙한지 궁금해요.
AUG_INQUIRY_00030,inquiry,HOSPITAL,경희대학교병원,2026-01-07T11:08:44.148975+00:00,주차 가능해요 ? 무료인가요 ?
AUG_INQUIRY_00031,inquiry,HOSPITAL,세브란스병원,2026-01-07T11:08:44.148975+00:00,복용 중인 약은 검진 전에 어케 해요?
AUG_INQUIRY_00032,inquiry,HOSPITAL,분당서울대병원,2026-01-07T11:08:44.148975+00:00,처방약 조제 얼마나 걸려요 ?
AUG_INQUIRY_00033,inquiry,PHARMACY,강남약국,2026-01-07T11:08:44.148975+00:00,주차 가능해요 ? 무료인가요 ?
AUG_INQUIRY_00034,inquiry,CHECKUP_CENTER,B검진센터(여의도점),2026-01-07T11:08:44.148975+00:00,처방약 조제 얼마나 걸려요?
AUG_INQUIRY_00035,inquiry,HOSPITAL,가톨릭대서울성모병원,2026-01-07T11:08:44.148975+00:00,처방약 수령 예약할 수 있나요?
AUG_INQUIRY_00036,inquiry,HOSPITAL,분당서울대병원,2026-01-07T11:08:44.148975+00:00,예약 취소하면 수수료 있나요?
AUG_INQUIRY_00037,inquiry,HOSPITAL,분당서울대병원,2026-01-07T11:08:44.148975+00:00,검진 전 금식은 몇 시간 해야 하나요?
AUG_INQUIRY_00038,inquiry,CHECKUP_CENTER,아산병원건강증진센터,2026-01-07T11:08:44.148975+00:00,오늘 오전 예약 가능해요?
AUG_INQUIRY_00039,inquiry,PHARMACY,종합약국,2026-01-07T11:08:44.148975+00:00,주차 가능해요? 무료인가요?
AUG_INQUIRY_00040,inquiry,CHECKUP_CENTER,B검진센터(여의도점),2026-01-07T11:08:44.148975+00:00,예약 취소하면 수수료 있어요?
AUG_INQUIRY_00041,inquiry,HOSPITAL,세브란스병원,2026-01-07T11:08:44.148975+00:00,복용 중인 약은 검진 전에 어떻게 하나요?
AUG_INQUIRY_00042,inquiry,HOSPITAL,삼성서울병원,2026-01-07T11:08:44.148975+00:00,검진 전 금식은 몇 시간 해야 하나요 ?
AUG_INQUIRY_00043,inquiry,CHECKUP_CENTER,AI Hub,2026-01-07T11:08:44.148975+00:00,복용 중인 약은 검진 전에 어떻게 하나요?
AUG_INQUIRY_00044,inquiry,HOSPITAL,서울성모병원,2026-01-07T11:08:44.148975+00:00,처방약 조제 얼마나 걸려요?
AUG_INQUIRY_00045,inquiry,CHECKUP_CENTER,AI Hub,2026-01-07T11:08:44.148975+00:00,검진 전 금식은 몇 시간 해야 하나요 ?
AUG_INQUIRY_00046,inquiry,HOSPITAL,연세세브란스병원,2026-01-07T11:08:44.148975+00:00,처방약 수령 예약할 수 있나요?
AUG_REVIEW_00047,review,PHARMACY,종합약국,2026-01-07T11:08:44.148975+00:00,대기 시간이 깔끔어요. ㅠ
AUG_REVIEW_00048,review,PHARMACY,연세약국,2026-01-07T11:08:44.148975+00:00,대기 시간이 만족스러어요.
AUG_REVIEW_00049,review,PHARMACY,케어약국,2026-01-07T11:08:44.148975+00:00,시설이 아쉬했어요.
AUG_REVIEW_00050,review,PHARMACY,케어약국,2026-01-07T11:08:44.148975+00:00,시설이 만족스러했어요. ㅠ
AUG_REVIEW_00051,review,HOSPITAL,세브란스병원,2026-01-07T11:08:44.148975+00:00,직원 응대가 깔끔했어요.
AUG_REVIEW_00052,review,HOSPITAL,서울대병원,2026-01-07T11:08:44.148975+00:00,설명이 길해서 이해하기 쉬웠어요.
AUG_REVIEW_00053,review,CHECKUP_CENTER,아산병원건강증진센터,2026-01-07T11:08:44.148975+00:00,시설이 길했어요.
AUG_REVIEW_00054,review,CHECKUP_CENTER,C검진센터(잠실점),2026-01-07T11:08:44.148975+00:00,설명이 길해서 이해하기 쉬웠어요.
AUG_REVIEW_00055,review,PHARMACY,케어약국,2026-01-07T11:08:44.148975+00:00,설명이 아쉬해서 이해하기 쉬웠어요.
AUG_REVIEW_00056,review,HOSPITAL,경희대학교병원,2026-01-07T11:08:44.148975+00:00,직원 응대가 별로했어요.
AUG_REVIEW_00057,review,HOSPITAL,서울성모병원,2026-01-07T11:08:44.148975+00:00,설명이 빠른해서 이해하기 쉬웠어요.
AUG_REVIEW_00058,review,CHECKUP_CENTER,건강검진센터,2026-01-07T11:08:44.148975+00:00,설명이 빠른해서 이해하기 쉬웠어요.
AUG_REVIEW_00059,review,HOSPITAL,고대안암병원,2026-01-07T11:08:44.148975+00:00,전체 진행이 친절했어요. ...
AUG_REVIEW_00060,review,HOSPITAL,C의원(홍대점),2026-01-07T11:08:44.148975+00:00,가격 안내가 아쉬했어요
AUG_REVIEW_00061,review,CHECKUP_CENTER,강남세브란스건강증진센터,2026-01-07T11:08:44.148975+00:00,직원 응대가 좋했어요.
AUG_REVIEW_00062,review,PHARMACY,메디팜약국,2026-01-07T11:08:44.148975+00:00,시설이 별로했어요.
